"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"KOR","Korea","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.24,,
"USA","United States","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.53,,
"USA","United States","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.12,,
"USA","United States","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.41,,
"USA","United States","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.32,,
"USA","United States","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.14,,
"USA","United States","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.23,,
"CHL","Chile","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.13,,
"CHL","Chile","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.42,,
"CHL","Chile","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.05,,
"CHL","Chile","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.04,,
"CHL","Chile","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.04,,
"CHL","Chile","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.31,,
"LVA","Latvia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.34,,
"LVA","Latvia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.29,,
"LVA","Latvia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.42,,
"LVA","Latvia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",-0.28,,
"LVA","Latvia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.17,,
"LVA","Latvia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.11,,
"CHE","Switzerland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.03,,
"CHE","Switzerland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.03,,
"CHE","Switzerland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.03,,
"CHE","Switzerland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",-0.07,,
"CHE","Switzerland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.07,,
"CHE","Switzerland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.07,,
"DEU","Germany","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.02,,
"DEU","Germany","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.14,,
"DEU","Germany","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.25,,
"DEU","Germany","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.13,,
"DEU","Germany","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.42,,
"DEU","Germany","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.24,,
"LUX","Luxembourg","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.78,,
"LUX","Luxembourg","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.26,,
"LUX","Luxembourg","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.93,,
"LUX","Luxembourg","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.72,,
"LUX","Luxembourg","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.09,,
"LUX","Luxembourg","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.02,,
"IND","India","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.15,,
"NZL","New Zealand","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.07,,
"NZL","New Zealand","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.35,,
"NZL","New Zealand","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.35,,
"NZL","New Zealand","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.35,,
"AUT","Austria","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.36,,
"AUT","Austria","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.52,,
"AUT","Austria","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.45,,
"AUT","Austria","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.44,,
"AUT","Austria","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.12,,
"AUT","Austria","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.17,,
"OEU","OECD - Europe","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.07,,
"OEU","OECD - Europe","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.19,,
"OEU","OECD - Europe","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.27,,
"OEU","OECD - Europe","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.45,,
"OEU","OECD - Europe","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.16,,
"OEU","OECD - Europe","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.19,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",-0.07,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.09,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",0.39,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",-0.16,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",0.6,,
"FIN","Finland","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.05,,
"DNK","Denmark","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.1,,
"DNK","Denmark","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.13,,
"DNK","Denmark","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.31,,
"DNK","Denmark","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.56,,
"DNK","Denmark","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.04,,
"DNK","Denmark","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.04,,
"EST","Estonia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.12,,
"EST","Estonia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.08,,
"EST","Estonia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.88,,
"EST","Estonia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.36,,
"EST","Estonia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.02,,
"EST","Estonia","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.16,,
"OXE","OECD total excluding the euro area","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.42,,
"OXE","OECD total excluding the euro area","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.2,,
"OXE","OECD total excluding the euro area","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.17,,
"OXE","OECD total excluding the euro area","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.14,,
"OXE","OECD total excluding the euro area","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.1,,
"OXE","OECD total excluding the euro area","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.02,,
"FRA","France","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.23,,
"FRA","France","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",-0.39,,
"FRA","France","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.71,,
"FRA","France","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",1.06,,
"FRA","France","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.52,,
"FRA","France","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",-0.09,,
"OTO","OECD - Total","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-09","Sep-2020",0.29,,
"OTO","OECD - Total","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-10","Oct-2020",0.05,,
"OTO","OECD - Total","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-11","Nov-2020",-0.21,,
"OTO","OECD - Total","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2020-12","Dec-2020",0.28,,
"OTO","OECD - Total","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-01","Jan-21",-0.14,,
"OTO","OECD - Total","CSCICP04","OECD Consumer Barometer","GPSA","Growth rate compared to previous month, seasonally adjusted","M","Monthly","2021-02","Feb-21",0.09,,
